nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
RUA BENJAMIN CONSTANT,460,79130000,CENTRO,RIO BRILHANTE,MS,2346
RUA SENADOR PETRONIO PORTELA,25,64690000,CENTRO,FRONTEIRAS,PI,2348
AVENIDA DELEGADO ELY CORREA PRADO,820,91260300,PROTASIO ALVES,PORTO ALEGRE,RS,15344
RUA JACOB FEDALTO,255,83323100,ESTANCIA PINHAIS,PINHAIS,PR,2350
RUA ESMERALDA,60,78008110,BAU,CUIABA,MT,2352
RUA ALZIRA VIANNA CORREA,167,15047224,PARQUE DA CIDADANIA,SAO JOSE DO RIO PRETO,SP,2354
AREA VILA PARAISO,SN,85950000,VILA PARAISO,PALOTINA,PR,2356
AVENIDA SEGISMUNDO PEREIRA,1545,38408170,SANTA MONICA,UBERLANDIA,MG,2357
RUA PRATA,21,38420000,RANCHO ALEGRE,MONTE ALEGRE DE MINAS,MG,2359
RUA EGITO,164,37901079,NOVO MUNDO,PASSOS,MG,2361
RUA MENDES CALDEIRA,136,03007060,BRAS,SAO PAULO,SP,2363
,,,,,,1482
RUA SEVERINO PEREIRA LINS,1192,56903270,NOSSA SRA DA CONCEICAO,SERRA TALHADA,PE,2366
RUA MARECHAL FLORIANO,3298,85810190,CENTRO,CASCAVEL,PR,2368
AVENIDA PRESIDENTE VARGAS,SN,64380000,CENTRO,BENEDITINOS,PI,2370
RUA DEPUTADO LAURO SODRE LOPES,569,85070000,SANTANA,GUARAPUAVA,PR,2372
AVENIDA DUQUE DE CAXIAS,1514,69020141,PRACA 14 DE JANEIRO,MANAUS,AM,2374
SITIO PREACAS,SN,58733000,ZONA RURAL,QUIXABA,PB,2376
AVENIDA 43,980,14780425,CENTRO,BARRETOS,SP,2378
AVENIDA HENRIQUE BIER,2040,93135000,CAMPINA,SAO LEOPOLDO,RS,2380
VILA UTINGA,SN,57100993,ZONA RURAL,RIO LARGO,AL,2382
RUA JOSE ALEXANDRE BUAIZ,190,29050545,ENSEADA DO SUA,VITORIA,ES,2384
RUA QUATROCENTOS E SETENTA E SETE NUCLEO IVO FERRONAT,2970,96413518,INDUSTRIAL I,BAGE,RS,2386
AVENIDA MALFLORIANO PEIXOTO,530,49900000,CENTRO,PROPRIA,SE,2388
RUA FRANCISCO MIGLIORANZA,2665,14402336,JARDIM PALESTINA,FRANCA,SP,2390
AVENIDA RUI BARBOSA,1288,19814000,CENTRO,ASSIS,SP,2391
RUA PERNAMBUCO,1640,99701764,JOSE BONIFACIO,ERECHIM,RS,2393
RUA GRECIA,165,06154050,JARDIM VELOSO,OSASCO,SP,2395
RUA BEIRA RIO,279,69900000,CIDADE NOVA,RIO BRANCO,AC,2397
AVENIDA 85,876,74465539,SETOR MARISTA,GOIANIA,GO,2398
AVENIDA ASSIS BRASIL,1517,91010004,PASSO DA AREIA,PORTO ALEGRE,RS,2400
RUA CARLOS GARCIA,38,03007020,BRAS,SAO PAULO,SP,2402
RUA MAESTRO DEMETRIO KIPMAN,140,02259090,JACANA,SAO PAULO,SP,2404
RUA PARANA,3300,85801000,CENTRO,CASCAVEL,PR,2406
RUA MATO GROSSO,1674,35500067,JARDIM NOVA AMERICA,DIVINOPOLIS,MG,2407
RUA MAJOR GABRIEL PENHA ANDRADE,55,37447000,CENTRO,MINDURI,MG,2408
RUA 1O DE MAIO,303,85875000,CENTRO,SANTA TEREZINHA DE ITAIPU,PR,2409
RUA CARLOS MARIANI,1280,95097640,RIO BRANCO,CAXIAS DO SUL,RS,2411
RUA JOAO XXIII,100,95650000,BOM PASTOR,IGREJINHA,RS,2412
PRACA SAO JOSE,222,35810970,CENTRO,PASSABEM,MG,2414
PRACA DUQUE DE CAXIAS,SN,44571000,CENTRO,SANTO ANTONIO DE JESUS,BA,2416
RUA CELESTINO TIBURTINO,81,29830000,BONFIM,NOVA VENECIA,ES,2418
RUA SENHOR DOS PASSOS,236,58015400,JAGUARIBE,JOAO PESSOA,PB,2420
AVENIDA WASHINGTON LUIS,196A,11050200,VILA MATIAS,SANTOS,SP,2422
RUA DOUTOR CARVALHO DE MENDONCA,310,11070101,VILA BELMIRO,SANTOS,SP,2424
AVENIDA NEWTON BELO,265,65390970,CENTRO,SANTA LUZIA,MA,2426
RUA SENADOR POMPEO,309,30240120,SERRA,BELO HORIZONTE,MG,2428
RUA DOUTOR ANTONIO RODRIGUES DA CUNHA CASTRO JUNIOR,340,38064710,DISTRITO INDUSTRIAL II,UBERABA,MG,2430
RUA SC 032,SN,74477062,BAIRRO SAO CARLOS,GOIANIA,GO,2431
RUA BOA MORTE,1075,13480182,CENTRO,LIMEIRA,SP,2433
AVENIDA RIO DE JANEIRO,667S,78455000,JARDIM DAS PALMEIRAS,LUCAS DO RIO VERDE,MT,2435
RODOVIA BR 101,SN,45450000,CENTRO,GANDU,BA,2436
AVENIDA GOVERNADOR MILTON CAMPOS,1526,39740970,CENTRO,GUANHAES,MG,2438
RODOVIA BR 354,665,37466000,CENTRO,ITAMONTE,MG,2440
RUA DOIS,277,11910000,AREADINHO,SETE BARRAS,SP,2442
RUA ENGENHEIRO RUBENS BLEY,386,29047170,DA PENHA,VITORIA,ES,2444
RUA NETUNO,54,89037526,ASILO,BLUMENAU,SC,2446
RUA VIVENDA DAS JAQUEIRAS,26,45300000,CENTRO,AMARGOSA,BA,2448
ACESSO POVOADO RETIRO,SN,57270000,ZONA RURAL,JUNQUEIRO,AL,2450
RUA 14 DE JULHO,1355,97450000,VILA POPULAR,CACEQUI,RS,2452
RUA PROCOPIO FERREIRA,96,36773458,HORTO FLORESTAL,CATAGUASES,MG,2454
RUA DOUTOR MARIO DE PAIVA,395,37701104,VILA NOVA,POCOS DE CALDAS,MG,2456
RUA ALAOR PINHEIRO MACHADO,275,14940000,RESIDENCIAL ANGELO ROSA,IBITINGA,SP,2457
RUA DO AMANHECER,381,53190010,AGUAS COMPRIDAS,OLINDA,PE,2458
RUA PAISSANDU,767,17201330,CENTRO,JAU,SP,2459
SITIO SANTA LUZIA,SN,16920000,PROJETO DE ASSENTAMENTO PENDENGO LOTE 4,CASTILHO,SP,2461
RUA DOIS,23,68365000,CENTRO,ANAPU,PA,2463
RUA E,1750,78048248,RESIDENCIAL PAIAGUAS,CUIABA,MT,2464
RUA ANA NERY,426,45880000,PARQUE ANTONIO ELIAS RIBEIRO,CAMACAN,BA,2466
RUA ANTONIO KAESEMODEL,640,89287600,BOEHMERWALD,SAO BENTO DO SUL,SC,2468
RUA ROCHA POMBO,1545,83601350,CENTRO,CAMPO LARGO,PR,2470
RUA PONTE NOVA,131,30110071,COLEGIO BATISTA,BELO HORIZONTE,MG,2471
RUA BAHIA,62,36202286,SAO SEBASTIAO,BARBACENA,MG,2473
RUA CIRO MONTEIRO,SN,09230290,CAMILOPOLIS,SANTO ANDRE,SP,2475
AVENIDA OLIVEIRA ROMA,151,65500000,CENTRO,CHAPADINHA,MA,2477
TRAVESSA ULISSES GUIMARAES,342,64980000,SINCERINO,CORRENTE,PI,2478
RUA QUINZE DE NOVEMBRO,347,15190000,CENTRO,NHANDEARA,SP,2480
RUA MANOEL ALONSO PORTELA,SN,29380000,CENTRO,MUNIZ FREIRE,ES,2481
RUA EMANCIPACAO,183,95778970,CENTRO,VALE REAL,RS,2483
RUA JOSE MENINO,21,06705462,PARQUE RINCAO,COTIA,SP,2486
RUA CIDADE DE BLUMENAU,116,45206575,AGUA BRANCA,JEQUIE,BA,2487
RUA CARLOS WEBER,349,05303000,VILA LEOPOLDINA,SAO PAULO,SP,2489
TRAVESSA SEGUNDA VALENCA,14,42700000,VILA MAR,LAURO DE FREITAS,BA,2490
RUA FERDINANDO PANATTONI,400,13060090,JARDIM PAULICEIA,CAMPINAS,SP,2492
AVENIDA VISCONDE DO RIO GRANDE,1568,96790000,CENTRO,BARRA DO RIBEIRO,RS,2494
RUA NELSON TEIXEIRA DA SILVA,44,17540000,LIMA E SILVA,OCAUCU,SP,2496
RUA ERNESTO DORNELES,132,96495971,VILA CRM,CANDIOTA,RS,2498
RUA VICENZA,72,02244080,VILA DOM PEDRO II,SAO PAULO,SP,2500
RUA MARIA ROSA BOREL,16,36976000,CENTRO,ALTO JEQUITIBA,MG,2502
RUA CORONEL CRESCENCIO,469,18400140,CENTRO,ITAPEVA,SP,2504
AVENIDA SETE DE SETEMBRO,1238,40080001,CAMPO GRANDE,SALVADOR,BA,2506
RUA ANGELICA,2003,68030300,AEROPORTO VELHO,SANTAREM,PA,2508
RUA IPADU,90,22713460,JACAREPAGUA,RIO DE JANEIRO,RJ,2510
AVENIDA SETE DE SETEMBRO,2604,40080001,VITORIA,SALVADOR,BA,2512
RUA PRINCESA ISABEL,523,59025400,CIDADE ALTA,NATAL,RN,2514
AVENIDA ESTRELA DO MAR,2231,59090400,PONTA NEGRA,NATAL,RN,2516
RUA JOAO RIBEIRO PEIXOTO,156,04942050,JARDIM NAKAMURA,SAO PAULO,SP,2518
FAZENDA DA CONCEICAO,SN,48280000,IMBASSAI GRANDE,MATA DE SAO JOAO,BA,2520
RUA DOUTOR ARTUR DE ASSIS,16,11045540,BOQUEIRAO,SANTOS,SP,2521
AVENIDA WASHIGTON LUIS,541,18520000,CENTRO,CERQUILHO,SP,2522
AVENIDA JOAO WALLIG,1800,91340000,PASSO DA AREIA,PORTO ALEGRE,RS,2524
RUA 1,B,74354290,SETOR GARAVELO B,GOIANIA,GO,2525
AVENIDA CORONEL MANOEL A D CASTRO,15,12130000,,LAGOINHA,SP,2527
RUA ROBSON M DE OLIVEIRA,140,79500000,CENTRO,PARANAIBA,MS,2530
RUA CELSO LAGAR,99,05374040,JARDIM ESTER YOLANDA,SAO PAULO,SP,2532
RUA DOUTOR ARLINDO LUZ,77A,37460000,CENTRO,PASSA QUATRO,MG,2533
RUA MANUEL LEMES DA SILVA,518,08122140,JARDIM DAS OLIVEIRAS,SAO PAULO,SP,2535
RUA JOSE GOMES DE MELLO,106,81580170,UBERABA,CURITIBA,PR,2536
RUA THEOBALDO KAEFFER,31,95940000,CENTRO,ARROIO DO MEIO,RS,2538
RUA AFONSO PENA,469,34300000,,RIO ACIMA,MG,2539
RUA ANTONIO ANDRADE,SN,29980000,SAO JOAO DO SOBRADO,PINHEIROS,ES,2541
RUA GAL OSORIO,789,98200000,,IBIRUBA,RS,2543
RUA F,SN,79580000,VILA RICA,INOCENCIA,MS,2545
RUA ALZIRA DE ARAUJO SOUZA,300,83326140,CJTO AQUILA,PINHAIS,PR,2547
RUA LOPES TROVAO,278,40435000,MASSARANDUBA,SALVADOR,BA,2548
AVENIDA NOVE DE JULHO,3893,01406000,JARDIM PAULISTA,SAO PAULO,SP,2550
RUA GERALDO GOMES DE SOUZA,632,14403205,PARQUE CASTELO,FRANCA,SP,2551
RUA GABRIEL BUDNY,715,88813672,VILA RICA,CRICIUMA,SC,2553
QNM QUADRA 6 CONJUNTO D,SN,72215010,CEILANDIA,BRASILIA,DF,2555
RUA TRINTA DE JULHO,656,13465500,CENTRO,AMERICANA,SP,2556
AVENIDA BERNADO SAYAO,615,77690000,CENTRO,ARAGUACEMA,TO,2558
RUA IRLANDA,65,45994719,WULISSES GUIMARAES,TEIXEIRA DE FREITAS,BA,2559
RUA PETROPOLIS,13,15806010,SAO FRANCISCO,CATANDUVA,SP,2561
RODOVIA SC 401,15257,88052000,VARGEM PEQUENA,FLORIANOPOLIS,SC,2562
RUA ARARANGUA,473,81230090,CAMPO COMPRIDO,CURITIBA,PR,2563
AVENIDA JATOBA,968,78520000,CENTRO,GUARANTA DO NORTE,MT,2565
AVENIDA JOSE MARIA WHITAKER,1232,04057000,PLANALTO PAULISTA,SAO PAULO,SP,2567
LINHA DERRUBADA ALTA,,89930000,INTERIOR,SAO JOSE DO CEDRO,SC,2568
RUA DRLUIZ AMARTINS,76,04781000,VILA FRIBURGO,SAO PAULO,SP,2570
RODOVIA PADRE,98,55820000,BAIRRO NOBRE,LAGOA DO CARRO,PE,2572
AVENIDA PROTASIO ALVES,4066,91310000,PETROPOLIS,PORTO ALEGRE,RS,2574
RUA DANTE FUGA,155,08561100,CENTRO,POA,SP,2576
RUA FRANCISCO PAULI,2176,89290000,CRUZEIRO,SAO BENTO DO SUL,SC,2577
RUA DOUTOR HEITOR GUEDES DE MELO,8,45400000,CENTRO,VALENCA,BA,2579
ESTRADA MONTE ALTO A APARECIDA DE MONTE ALTO,,15910000,ZONA RURAL,MONTE ALTO,SP,2580
FAZENDA SANTO ANTONIO DA BOA VISTA,SN,17490000,BOA VISTA,PIRATININGA,SP,2582
AVENIDA IPANEMA,475,45936000,GAZZINELANDIA,MUCURI,BA,2585
RUA TREZE DE MAIO,2704,79002356,VILA CIDADE,CAMPO GRANDE,MS,2587
RUA PEDRO VALERIO,220,25900415,VILA VITORIA,MAGE,RJ,2589
AVENIDA PAULO ALVES,873,76330000,CENTRO,JARAGUA,GO,2591
RUA ADMINISTRADOR MANOEL ANGELO DE OLIVEIRA,374,58058200,MANGABEIRA,JOAO PESSOA,PB,2592
RUA MARIA DA GLORIA ALMEIDA,5,68455676,VILA PERMANENTE,TUCURUI,PA,2594
RODOVIA PR 506,202,83430000,SEDE,CAMPINA GRANDE DO SUL,PR,2596
RUA SAO TOMAS DE AQUINO,18,59200000,CONJ CONEGO MONTE,SANTA CRUZ,RN,2598
AVENIDA NATALINO JOAO BRESCANSIN,577,78890000,CENTRO,SORRISO,MT,2599
RUA 13 DE DEZEMBRO,SN,89295000,CENTRO,RIO NEGRINHO,SC,2601
RUA PARA,66,13820000,JARDIM FONTANELLA,JAGUARIUNA,SP,2603
SITIO BOM SUCESSO,SN,35920000,ZONA RURAL,NOVA ERA,MG,2604
RUA VITORIA REGIA,2557,76873490,SETOR 4,ARIQUEMES,RO,2606
RUA HONORIO MAIA,664,03072000,MARANHAO,SAO PAULO,SP,2608
RUA RIO DO CEDRO,419,83322300,WEISSOPOLIS,PINHAIS,PR,2610
AVENIDA CANDIDO DIAS,1721,35931011,LOANDA,JOAO MONLEVADE,MG,2612
RUA JULIO DE SOUZA GALVAO,741,18303160,VILA APARECIDA,CAPAO BONITO,SP,2613
SITIO DOIS IRMAOS,SN,16240000,CORREGO DO AGRIAO,SANTOPOLIS DO AGUAPEI,SP,2615
RUA CAROLINA,30,07161210,CIDADE SOBERANA,GUARULHOS,SP,2616
RUA MOSENHOR OTAVIO DE CASTRO,810,60050150,FATIMA,FORTALEZA,CE,2618
AVENIDA JOAO CORREA,111,93800014,CENTRO,SAPIRANGA,RS,2620
RUA JOAO SILVA,760,77860000,CENTRO,WANDERLANDIA,TO,2622
PASSAGEM MARANATA,10B,66650180,COQUEIRO,BELEM,PA,2624
AVENIDA SAO BENTO CAM PARTICULAR,101,89290000,COLONIAL,SAO BENTO DO SUL,SC,2626
RUA TIBAGI,576,80060110,CENTRO,CURITIBA,PR,2628
CHACARA 3,,72275560,CEILANDIA,BRASILIA,DF,2630
FAZENDA VARZEA DO LOPES,SN,33350000,ZONA RURAL,SAO JOSE DA LAPA,MG,2632
ESTRADA DE SANTA ISABEL,5970,08599000,UNA,ITAQUAQUECETUBA,SP,2634
RUA ADOLFO TORRICELLI,128,13207265,VILA VIANELO,JUNDIAI,SP,2636
RUA CONDE DO PINHAL,2185,13569030,CENTRO,SAO CARLOS,SP,2638
ESTRADA CAMPESTRE,3573,95760000,CONCEICAO,SAO SEBASTIAO DO CAI,RS,2639
RUA JOAO CRESPIM,1280,60873044,MESSEJANA,FORTALEZA,CE,2640
RUA COMENDADOR ABDO SCHAHIN,13,01023050,CENTRO,SAO PAULO,SP,2641
SITIO BACURI,SN,15105000,BACURI,POTIRENDABA,SP,2643
RUA DOUTOR ANTENOR SOARES GANDRA,1555,13218111,COLONIA,JUNDIAI,SP,2645
RUA VISCONDE DE URURAY,218,28735000,CENTRO,QUISSAMA,RJ,2647
SITIO OLHO DAGUA V,SN,37130000,ZONA RURAL,ALFENAS,MG,2649
RUA CRISCIUMA,1287,02225001,JARDIM BRASIL ZONA NORTE,SAO PAULO,SP,2651
RUA AMAZONAS,977,14401408,VILA APARECIDA,FRANCA,SP,2653
SAO BERNARDO,,95255000,,CAMPESTRE DA SERRA,RS,2654
RUA DOUTOR ARTUR GUIMARAES,182,02038070,SANTANA,SAO PAULO,SP,2656
RUA COMENDADOR ANTUNES DOS SANTOS,619,05861260,CAPAO REDONDO,SAO PAULO,SP,2658
AVENIDA 25 DE AGOSTO,4643,76940971,CENTRO,ROLIM DE MOURA,RO,2660
RUA CORREIA DIAS,357,04104001,VILA MARIANA,SAO PAULO,SP,2662
RUA SIQUEIRA MENDES,1735,68440970,CENTRO,ABAETETUBA,PA,2664
RODOVIA BR 101,,45855000,ZONA RURAL,ITAPEBI,BA,2666
AVENIDA DAS NACOES,3,74958017,JARDIM VENEZA,APARECIDA DE GOIANIA,GO,2668
AVENIDA PRESIDENTE KENNEDY,935,85660000,CENTRO,DOIS VIZINHOS,PR,2670
AVENIDA COMERCIAL,303,42800420,CENTRO,CAMACARI,BA,2672
BR 101,,88900000,MATO ALTO,ARARANGUA,SC,2674
ESTRADA UNIAO E INDUSTRIA,153,25937890,PARQUE ESTRELA,MAGE,RJ,2675
RUA FRANCISCO DE ASSIS SANTANA DE SOUZA,,63660000,CIDADE LESTE,TAUA,CE,2676
LOCALIDADE,SN,98975000,LINHA PACA NORTE,CAMPINA DAS MISSOES,RS,2678
RUA INACIO LUIZ PINTO,300,14025680,ALTO DA BOA VISTA,RIBEIRAO PRETO,SP,2680
RUA 22 DE ABRIL,226,94480755,LOMBA DO PINHEIRO,VIAMAO,RS,2682
RUA LOCALIDADE DE PIAUS,SN,39770000,ZONA RURAL,COLUNA,MG,2683
RUA FERREIRA DE SOUSA,66,04544100,VILA NOVA CONCEICAO,SAO PAULO,SP,2685
RUA SANTO ANTONIO,34,46430000,CENTRO,GUANAMBI,BA,2686
AVENIDA ARMANDO BEI,445,07175000,VILA NOVA BONSUCESSO,GUARULHOS,SP,2688
RUA MIGUEL COUTO,49,79005600,VILA CARVALHO,CAMPO GRANDE,MS,2690
RUA ANTONIO AUGUSTO DO LIVRAMENTO,480,89228750,ESPINHEIROS,JOINVILLE,SC,2692
RUA CHILE,172,89050040,PONTA AGUDA,BLUMENAU,SC,2694
RUA CORCOVADO,131,13408072,JARDIM SONIA,PIRACICABA,SP,2696
RUA HOLANDA,19,78158520,JARDIM IMPERIAL,VARZEA GRANDE,MT,2698
RUA BI,30,63210000,QUIXABINHA,MAURITI,CE,2699
PRACA DOS EXPEDICIONARIOS,167,37240000,CENTRO,LUMINARIAS,MG,2701
AVENIDA SATURNINO DE BRITO,652,98040070,SAO FRANCISCO,CRUZ ALTA,RS,2702
TRECHO 13 DE MAIO,44,55006001,CENTRO,CARUARU,PE,2704
AVENIDA VERIDIANO CARDOSO,441,68456760,COHAB,TUCURUI,PA,2706
AVENIDA ALBERTO PASSOS,32,44380000,CENTRO,CRUZ DAS ALMAS,BA,2708
AVENIDA 29 DE ABRIL,769,83280000,CENTRO,GUARATUBA,PR,2710
AVENIDA INDEPENDENCIA,2157,74465170,SETOR CENTRAL,GOIANIA,GO,2712
RUA RIBEIRO PRETO,540,14075080,VILA CARVALHO,RIBEIRAO PRETO,SP,2713
RUA IARA,369,78140670,JARDIM GLORIA LL,VARZEA GRANDE,MT,2715
RUA MOURA LIMA,100,33200000,JARDIM DA GLORIA,VESPASIANO,MG,2717
RUA 2,SN,76100000,SETOR RODOVIARIO,SAO LUIS DE MONTES BELOS,GO,2719
RUA NOSSA SENHORA DE FATIMA,223,32605125,ALTO DAS FLORES,BETIM,MG,2721
RUA ECOLOGIA,280,65620000,MUTIRAO,COELHO NETO,MA,2723
RUA OURIQUE,795,21011130,BRAS DE PINA,RIO DE JANEIRO,RJ,2724
RUA PADRE DARCI,178,89873000,CENTRO,BOM JESUS DO OESTE,SC,2726
RUA PROFESSOR DOUTOR SANDOVAL RIBEIRO RIBAS,85,81270310,CIDADE INDUSTRIAL CURITIBA,CURITIBA,PR,2728
RUA SETE DE SETEMBRO,1213,35010171,CENTRO,GOVERNADOR VALADARES,MG,2729
RUA DOS CARTEIROS,120,58083110,INDUSTRIAS,JOAO PESSOA,PB,2731
RODOVIA BR 40,,38755000,ZONA RURAL,LAGOA GRANDE,MG,2732
RUA MORRO DO CHAPEU,57,44910000,NOVA AMERICA,AMERICA DOURADA,BA,2733
PRACA ANTONIO RIBEIRO CUNHA,110,44150970,CENTRO,SANTA BARBARA,BA,2734
RUA LUIZA MARIA DE JESUS,78,32605260,VILA DAS FLORES,BETIM,MG,2736
RUA PIMENTA DE PADUA,2486,37950000,CENTRO,SAO SEBASTIAO DO PARAISO,MG,2737
RUA WALFRIDA VERSTEG,589,95012550,CINQUENTENARIO,CAXIAS DO SUL,RS,2739
RUA DO PARQUE,1234,93600000,LIRA,ESTANCIA VELHA,RS,2741
RUA MARECHAL DELFINO CALVO,37,65790000,CENTRO,SAO DOMINGOS DO MARANHAO,MA,2742
RUA ITAPEROA,62,21545160,ROCHA MIRANDA,RIO DE JANEIRO,RJ,2744
FAZENDA PADROEIRA,SN,86490000,TRIOLANDIA,RIBEIRAO DO PINHAL,PR,2746
RUA ANITA GARIBALDI,620,07714570,JARDIM VICTORIA,CAIEIRAS,SP,2748
RUA AVOEIRAS,298,69042140,ALVORADA,MANAUS,AM,2749
RUA PROFMARIA FLORA PAUSEWANG,90,88036800,TRINDADE,FLORIANOPOLIS,SC,2751
RUA FIANDEIRAS,271,04545001,VILA OLIMPIA,SAO PAULO,SP,2752
AVENIDA PAVAO,683,04516012,INDIANOPOLIS,SAO PAULO,SP,2754
RUA DO ROSARIO,145B,36227970,CENTRO,PIEDADE DO RIO GRANDE,MG,2756
RUA CUSTODIO MOULAIS,20,29321000,VARGEM G DO SOTURNO,CACHOEIRO DE ITAPEMIRIM,ES,2757
RUA QUINTINO BOCAIUVA,84,01004010,CENTRO,SAO PAULO,SP,2759
AVENIDA DOM PEDRO II,1516,13320241,CENTRO,SALTO,SP,2761
RUA FRANCISCO AMARAL,498,59338000,CENTRO,TENENTE LAURENTINO CRUZ,RN,2762
RUA FRAIBURGO,101,50751190,BONJI,RECIFE,PE,2764
GALERIA PIO,56,36010240,CENTRO,JUIZ DE FORA,MG,2766
QUADRA 48,SN,72911205,JARDIM DA BARRAGEM II,AGUAS LINDAS DE GOIAS,GO,2768
RUA JOSE GARIALDI II,127,14300000,CASTELO,BATATAIS,SP,2770
ESTRADA DO PEDROSO,1309,09132400,JARDIM SANTO ANDRE,SANTO ANDRE,SP,2772
RUA 116,,88359321,JARDIM MALUCHE,BRUSQUE,SC,2774
ESTRADA BR 101,,44570535,AMPARO,SANTO ANTONIO DE JESUS,BA,2776
RUA DA COLINA,60,21931380,JARDIM GUANABARA,RIO DE JANEIRO,RJ,2778
RUA DA MATRIZ,1068,99650000,CENTRO,BENJAMIN CONSTANT DO SUL,RS,2780
RUA ARACAJU,20,68503190,BELO HORIZONTE,MARABA,PA,2782
RUA DOUTOR ELTON CESAR,201,13082025,CHACARAS CAMPOS DOS AMARAIS,CAMPINAS,SP,2784
RODOVIA TANCREDO ALMEIDA NEVES,,13203715,CASTANHO,JUNDIAI,SP,2786
RUA ANTONIO DE OLIVEIRA,900,15047000,JARDIM DAS OLIVEIRAS,SAO JOSE DO RIO PRETO,SP,2788
RUA COMETA,102,06840060,JARDIM NOVO EMBU,EMBU DAS ARTES,SP,2790
RUA CAPITAO BERNADINO SOUTO,115,57160000,CENTRO,MARECHAL DEODORO,AL,2791
RUA SALLES GOMES,228,05211200,VILA PERUS,SAO PAULO,SP,2793
RUA ANCHIETA,328,30720370,PADRE EUSTAQUIO,BELO HORIZONTE,MG,2795
CONTORNO DA RUA ANGELO BIGGI VALE DOS PEOES,SN,36060620,LINHARES,JUIZ DE FORA,MG,2797
RUA PAU BRASIL,31,29162450,JOSE DE ANCHIETA,SERRA,ES,2798
RUA SERGIPE,1236,30130171,FUNCIONARIOS,BELO HORIZONTE,MG,2799
FAZENDA CACHOEIRA DOS TOMAZES,SN,15570000,ZONA RURAL,CARDOSO,SP,2801
ESTRADA DOS OFICIAIS,27,69082230,FLORES,MANAUS,AM,2803
RUA CONEGO EZEQUIAS,234,07064030,VILA ROSALIA,GUARULHOS,SP,2805
RUA ANDRE MENDES,112,04149110,JARDIM DA SAUDE,SAO PAULO,SP,2807
COMUNIDADE MAXIXE I,,64565000,ZONA RURAL,ITAINOPOLIS,PI,2809
TRAVESSA APOLINARIO SANTANA,34,40220110,ENGENHO VELHO DA FEDERACAO,SALVADOR,BA,2811
RODOVIA BR 459,,12620000,SEDE,PIQUETE,SP,2813
AVENIDA JABAQUARA,2958,04045000,PLANALTO PAULISTA,SAO PAULO,SP,2814
TRECHO NEUSA VIDAL,67,69909660,VILA AMIZADE,RIO BRANCO,AC,2817
RUA VIRGILIO M DE OLIVEIRA,479,07901020,CENTRO,FRANCISCO MORATO,SP,2818
POVOADO BELA VISTA,SN,65390000,ZONA RURAL,SANTA LUZIA,MA,2820
AVENIDA DAS AMERICAS,10101,22631000,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,2821
RODOVIA BR 101,SN,44350000,ZONA RURAL,GOVERNADOR MANGABEIRA,BA,2823
RUA ALCIDIO GOMES,13,04894420,JARDIM DAS FONTES,SAO PAULO,SP,2824
TRECHO EUCLIDES DE MATOS,40,22240010,LARANJEIRAS,RIO DE JANEIRO,RJ,2826
RUA ANTONIO PEREIRA DE ANDRADE,126,12052072,VILA APARECIDA,TAUBATE,SP,2828
AVENIDA ANTONIO DA SILVA NUNES,837,16201106,ESTANCIA CAICARA,BIRIGUI,SP,2830
RUA AMAZONAS,2181,79570000,VILA PEREIRA,APARECIDA DO TABOADO,MS,2831
RODOVIA BR 386,,95840971,COXILHA VELHA,TRIUNFO,RS,2833
RUA RUI MONTE,186,60360640,ANTONIO BEZERRA,FORTALEZA,CE,2835
RUA ERVA DE LARGATO,49,08041790,SAO MIGUEL PAULISTA,SAO PAULO,SP,2837
RUA IRENE RODRIGUES SOARES,166,59258000,CENTRO,SERRINHA,RN,2838
RUA AFONSO PENA,20,14990000,CENTRO,IRAPUA,SP,2840
RUA 24 DE MAIO,139,48010000,CENTRO,ALAGOINHAS,BA,2842
RUA JOAO KOPKE,169B,01124030,BOM RETIRO,SAO PAULO,SP,2844
RUA OLGA ASSUNCAO,1202,32606116,NOVO HORIZONTE,BETIM,MG,2846
RUA SANTO AMARO,442,49760000,CENTRO,ROSARIO DO CATETE,SE,2847
RUA CLEMENTINO BICA DE ALMEIDA,363,97573070,CENTRO,SANTANA DO LIVRAMENTO,RS,2849
AVENIDA NACOES UNIDAS,300,68795000,CENTRO,BENEVIDES,PA,2851
RUA OSWALDO CRUZ,517,11045101,BOQUEIRAO,SANTOS,SP,2853
RUA DRJOAQUIM M ATORRES,SN,84026170,OLARIAS,PONTA GROSSA,PR,2855
RUA FLORIANOPOLIS,2981,92330500,MATHIAS VELHO,CANOAS,RS,2856
RUA EDMUNDO JUVENT FUENTES,210,03280000,VILA SAO DOMINGOS,SAO PAULO,SP,2858
SITIO AGUA BOA I,SN,19300000,NOVA PATRIA,PRESIDENTE BERNARDES,SP,2859
AVENIDA FARROUPILHA,2959,92025415,NOSSA SENHORA DAS GRACAS,CANOAS,RS,2861
RUA GUARANY,647,11360000,PARQUE SAO VICENTE,SAO VICENTE,SP,2862
RUA DEMOSTENES BARBOSA,438,58465000,CENTRO,RIACHO DE SANTO ANTONIO,PB,2863
RUA DONATO D DE CAMARGO,105,18730000,JARDIM PLANALTO,ITAI,SP,2865
AVENIDA DOUTOR BEZERRA DE MENEZES,990,36087020,NOVA ERA,JUIZ DE FORA,MG,2867
