nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
AVENIDA JOAO PEREIRA DE VARGAS,2884,93230210,NOVA SAPUCAIA,SAPUCAIA DO SUL,RS,169
RUA RADIALISTA M SOBRINHO,95,30001970,CEU AZUL II,BELO HORIZONTE,MG,171
RUA CARDEAL STEPINAC,592,31170220,CIDADE NOVA,BELO HORIZONTE,MG,173
AVENIDA ITABERABA,3623,02739000,VILA MARACANA,SAO PAULO,SP,176
RUA CORONEL MUNDICO SA,222,64500000,CENTRO,OEIRAS,PI,178
RUA DONA ZULMIRA,498,90830240,CAVALHADA,PORTO ALEGRE,RS,180
RUA ALVARES AZEVEDO,190,04671040,VILA SOFIA,SAO PAULO,SP,182
RUA LUIZ VIANA,5,45265000,CENTRO,CAETANOS,BA,184
RUA GUARUJA,1,14090283,JARDIM PAULISTANO,RIBEIRAO PRETO,SP,186
AVENIDA BERNARDINO DE CAMPOS,12,13900400,CENTRO,AMPARO,SP,188
AVENIDA JOAO DURVAL CARNEIRO,SN,48970000,RODOVIARIO,SENHOR DO BONFIM,BA,190
RUA SAOA PAULO,220,86935000,CENTRO,LUNARDELLI,PR,192
RUA DOS BANDEIRANTES,125,40260120,MATATU DE BROTAS,SALVADOR,BA,194
RUA QUINTINO MOREIRA,12,35774000,,PARAOPEBA,MG,196
RUA MIGUEL CALMON,63,40015010,COMERCIO,SALVADOR,BA,199
RODOVIA MT 308,SN,78400000,ZONA RURAL,DIAMANTINO,MT,201
AVENIDA PRESIDENTE KENNEDY,409,49400000,SEDE,LAGARTO,SE,203
RUA ODETTE PACHECO,184,60325580,SAO GERARDO,FORTALEZA,CE,205
RUA AFONSO CELSO,561,40140080,CENTRO,SALVADOR,BA,207
RUA MINAS GERAIS,SN,73850000,CENTRO,CRISTALINA,GO,209
RUA DA BANDEIRA,52,62184000,CENTRO,CARIRE,CE,211
RUA RICARDO EMILIO MICHEL,66,81250610,CIDADE INDUSTRIAL,CURITIBA,PR,213
AVENIDA DAS BANDEIRAS,806,79081310,JARDIM NHANHA,CAMPO GRANDE,MS,215
AVENIDA ANTONIETA PASQUARELLI PENTEADO,170,07786515,ALTOS DE JORDANESIA,CAJAMAR,SP,217
RUA JOAO CLAPP,542,14080350,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,219
RUA ANAI,33,03253040,VILA INDUSTRIAL,SAO PAULO,SP,221
PRACA DA SOLEDADE,53,55820000,CENTRO,LAGOA DO CARRO,PE,223
AVENIDA VEREADOR D PASSARINHO,1013,19807155,VL PRUDENCIANA,ASSIS,SP,225
AVENIDA PRINCIPAL,SN,87504616,SERRA DOS DOURADOS,UMUARAMA,PR,227
RUA VITORINO BACELAR,223,89300000,CENTRO,MAFRA,SC,229
ESTRADA BENEDITO CESARIO DE OLIVEIRA,588,06767280,VILA IASI,TABOAO DA SERRA,SP,231
RUA 6,SN,74633400,VILA OSVALDO ROSA,GOIANIA,GO,234
RUA CUSTODIO NASCIMENTO,20,08380059,JARDIM ROSELI,SAO PAULO,SP,236
TRECHO PORTUGUES,39,35300068,CENTRO,CARATINGA,MG,238
AVENIDA ITABERABA,5107,02739000,VILA N CACHOEIRINHA,SAO PAULO,SP,240
RUA DEDI BARICHELLO MONTAGNER,SN,85660000,CENTRO NORTE,DOIS VIZINHOS,PR,242
RUA GETULIO VARGAS,SN,58770000,CENTRO,COREMAS,PB,245
RUA COMENDADOR ANTONIO ALVES,704,33600970,CENTRO,PEDRO LEOPOLDO,MG,247
RUA XV DE NOVEMBRO,51,16880000,CENTRO,VALPARAISO,SP,249
AVENIDA DA SAUDADE,32,13150000,CHACARA HORIZONTE,COSMOPOLIS,SP,251
RODOVIA SC 405,112,88065000,CAMPECHE,FLORIANOPOLIS,SC,253
RUA DO RUSSEL,SN,74942470,JARDIM BURITI SERENO,APARECIDA DE GOIANIA,GO,255
RUA ALVES DE BRITO,141,88015440,CENTRO,FLORIANOPOLIS,SC,257
PRACA DOUTOR GAMA,476,16200003,CENTRO,BIRIGUI,SP,259
RUA ALEIXO RODRIGUES DE QUEIROZ,840,75115010,VILA INDUSTRIAL,ANAPOLIS,GO,261
FAZENDA MARACUJA,SN,35500970,AREA RURAL,DIVINOPOLIS,MG,263
RUA GRACIOSA FABRO,114,95055065,DIAMANTINO,CAXIAS DO SUL,RS,264
RUA PEROLINA ARAUJO,166,49890000,CENTRO,NOSSA SENHORA DE LOURDES,SE,266
SITIO MONTE AZUL,SN,16640000,DUAS PONTES,BALBINOS,SP,269
RUA ALBINO B GABRIL,227,04727030,VILA CRUZEIRO,SAO PAULO,SP,271
RUA APOL SATHLER,86,35040060,SANTA RITA,GOVERNADOR VALADARES,MG,273
SITIO SAO BENEDITO,SN,19880000,AGUA DO FOGO,CANDIDO MOTA,SP,275
RUA ANTONIO LOSSO,972,85055310,CONRADINHO,GUARAPUAVA,PR,276
RUA LONDRES,450,03731030,VILA LONDRINA,SAO PAULO,SP,278
RUA HEITOR PENTEADO,1759,05437000,SUMAREZINHO,SAO PAULO,SP,281
RUA DESEMBARGADOR MOTTA,2308,80420190,CENTRO,CURITIBA,PR,283
AVENIDA DO AGRICULTOR,SN,46470000,SAO FELIX,RIACHO DE SANTANA,BA,286
PRACA GAGO COUTINHO,SN,41510045,SAO CRISTOVAO,SALVADOR,BA,288
RUA DOUTOR ATALIBA LEONEL,225,18740000,CENTRO,TAQUARITUBA,SP,290
AVENIDA DOUTOR VITAL BRASIL,1108,05503000,BUTANTA,SAO PAULO,SP,292
RUA MANUEL DE MACEDO,386,14030560,JARDIM PIRATININGA,RIBEIRAO PRETO,SP,294
RUA DO URUGUAI,753,40454260,URUGUAI,SALVADOR,BA,296
RUA CLAUDIONOR WANDERLEY,74,40301155,BOA VIAGEM,SALVADOR,BA,298
AVENIDA MARECHAL HERMES,200,11700250,CANTO DO FORTE,PRAIA GRANDE,SP,300
RUA LUDGERO GUILHERME COSTA,111A,62790000,CENTRO,REDENCAO,CE,302
RUA FRANCISCO DE ASSIS,25,85022220,BOQUEIRAO,GUARAPUAVA,PR,304
RUA DOM PEDRO II,1499,76804027,SAO CRISTOVAO,PORTO VELHO,RO,306
RUA MARCILIO DIAS,380,88511570,VARZEA,LAGES,SC,308
AVENIDA MENDEL,61,35702192,JK,SETE LAGOAS,MG,310
RUA DO MINUANO,223,79080520,JARDIM MARCOS ROBERTO,CAMPO GRANDE,MS,312
RODOVIA BA 52,900,47400000,ALFREDO HENRIQUE SAMPAIO,XIQUE XIQUE,BA,314
RUA INDUSTRIAL,180,26021150,POSSE,NOVA IGUACU,RJ,316
RUA VICENTE FRANCO TOLENTINO,132,03982180,PARQUE SANTA MADALENA,SAO PAULO,SP,318
AVENIDA ROBERT KENNEDY,3073,09860122,JARDIM BRASILANDIA,SAO BERNARDO DO CAMPO,SP,320
PRACA VEREADOR JOSE MARQUES BORGES,78,46220000,CENTRO,RIO DO ANTONIO,BA,323
AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,560,80320300,SANTA QUITERIA,CURITIBA,PR,325
RUA FREI EUSTAQUIO,52A,39400612,SAO JUDAS TADEU,MONTES CLAROS,MG,327
RUA JOAO DE SIQUEIRA AFONSO,281,08452000,LAJEADO,SAO PAULO,SP,329
RUA WILSON TRONCOSO,958,16204155,RESIDENCIAL ALVORADA,BIRIGUI,SP,331
RUA FRANCISCO VALOIS,SN,75104280,SETOR INDUSTRIAL AEROPORTO,ANAPOLIS,GO,333
RUA PARAIBA,SN,47850000,CENTRO,LUIS EDUARDO MAGALHAES,BA,335
RUA ALFREDO SCHURIG,67,12327005,CENTRO,JACAREI,SP,337
RUA F,386,68515000,UNIAO,PARAUAPEBAS,PA,340
ESTRADA MUNICIPAL TURIUBA A MONCOES,,15280000,PALMEIRAS,TURIUBA,SP,342
RUA ALIADOS,484,14080570,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,344
